City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Saint-Philippe,RE,63.99,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
77,Miri,MY,77.14,moderate rain,4.4148,114.0089,"Mega Hotel, Miri"
79,Hithadhoo,MV,81.95,overcast clouds,-0.6,73.0833,Scoop Guest House
82,Hauterive,FR,60.58,light rain,46.0901,3.4459,Aletti Palace Hotel
83,Lake Charles,US,86.02,scattered clouds,30.2131,-93.2044,La Quinta Inn & Suites by Wyndham Lake Charles Casino Area
84,Hasaki,JP,66.6,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
87,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
88,Wahiawa,US,84.52,scattered clouds,21.5028,-158.0236,Aloha Wahiawa
89,Iacu,BR,74.23,clear sky,-12.7672,-40.2117,Pousada e Restaurante Portal da Chapada
92,Kefalos,GR,75.42,clear sky,36.7453,26.9589,Kokalakis Hotel
93,Hamilton,US,84.6,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
95,Airai,TL,65.43,scattered clouds,-8.9266,125.4092,Juvinal Martin
99,Sao Filipe,CV,80.06,overcast clouds,14.8961,-24.4956,Hotel Xaguate
100,Isiro,CD,63.52,light rain,2.7739,27.616,Guest House Hewa Bora
102,Kahului,US,87.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
104,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
105,Hun,LY,84.67,clear sky,29.1268,15.9477,Alrwasi Hotel
109,Kavieng,PG,83.53,broken clouds,-2.5744,150.7967,Nusa Island Retreat
114,Victoria,HK,85.32,few clouds,22.2855,114.1577,Mini Hotel Central
115,Alice Springs,AU,63.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
116,Kimbe,PG,84.18,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
117,Tura,IN,71.51,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
118,Lanat,PH,77.0,overcast clouds,15.8,120.6,Rosa's Apartment
119,Belmonte,BR,75.7,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
123,Lahaina,US,87.8,overcast clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
124,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
126,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
127,Port Blair,IN,79.97,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
129,Goderich,CA,71.91,clear sky,43.7501,-81.7165,Harmony Inn
130,Castro,BR,64.31,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
131,Honiara,SB,82.06,overcast clouds,-9.4333,159.95,Heritage Park Hotel
132,Kilindoni,TZ,76.62,scattered clouds,-7.9139,39.6668,Bustani B&B
134,Bethel,US,72.48,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
135,Supaul,IN,79.41,scattered clouds,26.1167,86.6,Shri ram guest house
139,Acari,PE,64.4,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
143,Great Yarmouth,GB,61.23,light rain,52.6083,1.7305,Comfort Hotel Great Yarmouth
146,Richards Bay,ZA,65.55,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
148,Sioux Lookout,CA,79.18,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
150,Kencong,ID,73.92,scattered clouds,-8.2833,113.3667,GUBUK SUGIANTO
155,Buala,SB,82.11,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
157,Fortuna,US,74.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
158,West Bay,KY,87.87,few clouds,19.3667,-81.4167,Calypso Cove
160,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
161,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
162,Anito,PH,80.8,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
163,Teluknaga,ID,77.18,few clouds,-6.0989,106.6381,Bale Ocasa hotel
164,Cap Malheureux,MU,70.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
165,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
167,Ocampo,MX,66.11,overcast clouds,21.65,-101.5,Casa de ratas
170,East London,ZA,61.2,few clouds,-33.0153,27.9116,Tu Casa
171,Redcliffe,AU,74.08,clear sky,-27.2307,153.0973,Redvue Apartments
172,Lorengau,PG,84.56,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
