City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Lavrentiya,RU,65.5833,-171.0,32.63,59,9,11.65,clear sky
242,Maragogi,BR,-9.0122,-35.2225,74.95,77,56,9.62,broken clouds
243,Najran,SA,17.4924,44.1277,83.05,18,10,3.33,clear sky
244,Kloulklubed,PW,7.0419,134.2556,77.5,72,92,12.15,overcast clouds
245,Sindor,RU,62.8629,51.8905,36.77,74,100,7.76,overcast clouds
246,Korba,IN,22.35,82.6833,73.89,92,94,3.74,overcast clouds
247,Tarnogskiy Gorodok,RU,60.4997,43.5761,37.81,66,100,4.07,overcast clouds
248,Ambulu,ID,-8.345,113.6058,73.67,88,37,2.17,scattered clouds
249,Saint George,US,37.1041,-113.5841,94.62,14,1,1.99,clear sky
250,Yerbogachen,RU,61.2767,108.0108,39.22,96,97,1.39,overcast clouds
251,Rudnichnyy,RU,59.617,52.4703,31.71,94,80,6.62,broken clouds
252,San Giovanni In Fiore,IT,39.2633,16.6996,64.87,83,4,7.83,clear sky
253,Sobolevo,RU,54.4299,31.8996,42.71,95,100,13.35,overcast clouds
254,Lake City,US,30.1897,-82.6393,77.04,89,96,4.56,moderate rain
255,Sambava,MG,-14.2667,50.1667,70.77,85,100,13.27,light rain
256,Luang Prabang,LA,19.8856,102.1347,71.22,100,99,1.66,overcast clouds
257,Watertown,US,42.3709,-71.1828,69.75,69,20,8.05,few clouds
258,Yeppoon,AU,-23.1333,150.7333,67.78,62,5,9.28,clear sky
259,Noblesville,US,40.0456,-86.0086,86.11,55,97,5.84,overcast clouds
260,Sidney,AU,-33.8679,151.2073,69.31,43,0,5.01,clear sky
261,Pustoshka,RU,56.3355,29.369,38.59,97,100,12.68,moderate rain
262,Tacoronte,ES,28.4769,-16.4102,69.26,84,40,13.0,scattered clouds
263,Vardo,NO,70.3705,31.1107,43.0,75,100,23.49,overcast clouds
264,Baiao,BR,-2.7906,-49.6717,80.19,72,94,4.47,overcast clouds
265,Nioro,GM,13.35,-15.75,78.1,88,100,4.05,overcast clouds
266,Gumdag,TM,39.2061,54.5906,73.11,21,0,21.79,clear sky
267,Corinto,GR,37.9407,22.9573,80.76,67,0,7.09,clear sky
268,Pangody,RU,65.85,74.4859,36.09,96,100,16.91,overcast clouds
269,Khambhaliya,IN,22.2072,69.6683,79.43,87,6,10.29,clear sky
270,Powell,US,40.1578,-83.0752,86.16,55,1,8.05,clear sky
271,Manali,IN,13.1667,80.2667,78.89,79,96,5.7,overcast clouds
272,Mount Gambier,AU,-37.8333,140.7667,46.31,81,75,20.71,light intensity shower rain
273,Adrar,MR,20.5022,-10.0711,90.52,26,3,24.32,clear sky
274,Ambon,ID,-3.6954,128.1814,75.34,94,75,4.61,very heavy rain
275,Urumqi,CN,43.801,87.6005,72.55,25,0,13.42,clear sky
276,Unity,CA,52.4501,-109.1682,62.26,28,46,16.96,scattered clouds
277,Cabo San Lucas,MX,22.8909,-109.9124,93.51,66,20,10.36,few clouds
278,Portland,US,45.5234,-122.6762,69.13,78,75,4.0,broken clouds
279,Codrington,AU,-38.2667,141.9667,48.69,78,53,21.45,light rain
280,Redlands,US,34.0556,-117.1825,95.27,27,1,9.22,clear sky
281,Neka,IR,36.6508,53.299,68.36,81,0,1.48,clear sky
282,Arona,ES,28.0996,-16.681,68.83,71,40,19.57,scattered clouds
283,Saint-Augustin,CA,51.226,-58.6502,51.1,49,6,9.33,clear sky
284,Changying,CN,52.8733,123.3213,43.03,74,5,5.44,clear sky
285,Mananara,MG,-16.1667,49.7667,68.13,86,99,7.29,light rain
286,Touros,BR,-5.1989,-35.4608,77.9,78,100,18.48,overcast clouds
287,Nyrob,RU,60.733,56.7202,33.26,90,95,7.83,overcast clouds
288,Maniitsoq,GL,65.4167,-52.9,35.69,57,86,15.19,overcast clouds
289,Necochea,AR,-38.5473,-58.7368,53.04,95,65,10.92,light rain
290,Raudeberg,NO,61.9875,5.1352,55.87,86,100,1.01,overcast clouds
291,Shetpe,KZ,44.1667,52.1167,66.6,34,92,17.96,overcast clouds
292,Aloleng,PH,16.1307,119.7824,79.48,82,94,4.65,overcast clouds
293,Rankovce,MK,42.1696,22.1162,57.67,67,0,2.68,clear sky
