City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Le Port,RE,2021-09-19 17:21:14,-20.9373,55.2919,68.0,65,52,7.09
172,Tiksi,RU,2021-09-19 17:21:14,71.6872,128.8694,34.23,74,99,18.21
173,Port Hardy,CA,2021-09-19 17:20:10,50.6996,-127.4199,51.98,100,75,2.3
174,Sorland,NO,2021-09-19 17:20:30,67.667,12.6934,51.66,74,99,9.55
175,Upernavik,GL,2021-09-19 17:21:14,72.7868,-56.1549,26.58,56,27,4.92
176,Kargopol,RU,2021-09-19 17:21:15,61.5071,38.9456,40.21,73,51,5.7
177,Vao,NC,2021-09-19 17:21:15,-22.6667,167.4833,67.3,60,100,13.8
178,Airai,TL,2021-09-19 17:21:15,-8.9266,125.4092,56.89,71,28,3.85
179,Leningradskiy,RU,2021-09-19 17:21:15,69.3833,178.4167,26.19,85,91,23.69
180,Yerofey Pavlovich,RU,2021-09-19 17:21:16,53.9667,121.9667,38.21,92,20,2.42
181,Lebu,CL,2021-09-19 17:20:16,-37.6167,-73.65,53.55,63,3,14.43
182,Tura,IN,2021-09-19 17:21:16,25.5198,90.2201,73.69,97,30,5.48
183,Doka,SD,2021-09-19 17:21:16,13.5167,35.7667,77.77,75,43,1.63
184,Katihar,IN,2021-09-19 17:21:17,25.5333,87.5833,81.63,84,8,6.76
185,Cahors,FR,2021-09-19 17:21:17,44.4167,1.3333,65.7,70,59,6.2
186,Castro,BR,2021-09-19 17:20:15,-24.7911,-50.0119,87.78,34,14,5.77
187,San Jose,US,2021-09-19 17:18:36,37.3394,-121.895,72.55,68,20,1.01
188,Cibitoke,BI,2021-09-19 17:21:17,-2.8833,29.25,68.23,68,100,3.89
189,Saint-Augustin,CA,2021-09-19 17:21:18,51.226,-58.6502,58.44,39,100,8.43
190,Ancud,CL,2021-09-19 17:16:41,-41.8697,-73.8203,51.33,69,12,6.06
191,Torbay,CA,2021-09-19 17:21:18,47.6666,-52.7314,62.28,92,90,10.36
192,Dandong,CN,2021-09-19 17:21:18,40.1292,124.3947,63.18,93,100,6.31
193,Miri,MY,2021-09-19 17:21:19,4.4148,114.0089,82.54,83,20,3.44
194,Celina,US,2021-09-19 17:21:19,40.5489,-84.5702,87.48,61,0,6.58
195,Maneadero,MX,2021-09-19 17:21:19,31.7167,-116.5667,71.19,88,6,1.01
196,Blind River,CA,2021-09-19 17:21:19,46.1834,-82.9582,68.25,48,1,10.49
197,Canarana,BR,2021-09-19 17:21:20,-11.6847,-41.7689,94.46,14,13,4.47
198,Porto Walter,BR,2021-09-19 17:21:20,-8.2686,-72.7439,99.73,27,11,3.78
199,Constitucion,CL,2021-09-19 17:21:20,-35.3333,-72.4167,56.8,58,1,15.26
200,Nome,US,2021-09-19 17:21:20,64.5011,-165.4064,35.67,87,90,12.66
201,Aklavik,CA,2021-09-19 17:21:21,68.2191,-135.0107,41.0,60,75,5.75
202,Half Moon Bay,US,2021-09-19 17:21:21,37.4636,-122.4286,72.14,76,1,10.36
203,Nemuro,JP,2021-09-19 17:21:21,43.3236,145.575,58.55,68,100,9.15
204,Ouadda,CF,2021-09-19 17:21:22,8.0777,22.4007,70.74,93,98,2.21
205,Nuevo Progreso,MX,2021-09-19 17:21:22,23.1667,-97.95,90.59,56,13,3.2
206,Krasnoselkup,RU,2021-09-19 17:21:22,65.7,82.4667,38.03,84,65,6.6
207,Mount Gambier,AU,2021-09-19 17:21:22,-37.8333,140.7667,47.68,74,81,16.11
208,Novaya Bryan,RU,2021-09-19 17:21:23,51.7159,108.2691,45.37,78,34,1.95
209,Tamandare,BR,2021-09-19 17:21:23,-8.7597,-35.1047,80.62,60,41,8.34
210,Kosonsoy,UZ,2021-09-19 17:21:23,41.2561,71.5508,64.96,20,0,8.34
211,Tanout,NE,2021-09-19 17:21:23,14.9709,8.8879,98.74,14,25,10.58
212,Naze,JP,2021-09-19 17:21:24,28.3667,129.4833,74.37,77,13,3.38
213,San Blas,MX,2021-09-19 17:21:24,21.5167,-105.2667,87.69,74,100,2.91
214,Miyang,CN,2021-09-19 17:21:24,24.4042,103.4428,61.21,96,98,2.57
215,Shchigry,RU,2021-09-19 17:21:24,51.8755,36.9043,51.62,97,100,13.38
216,Apucarana,BR,2021-09-19 17:21:25,-23.5508,-51.4608,91.53,22,3,7.63
217,Lakes Entrance,AU,2021-09-19 17:21:25,-37.8811,147.981,58.57,68,95,7.45
218,Iquique,CL,2021-09-19 17:21:25,-20.2208,-70.1431,62.64,68,53,6.91
219,Sao Paulo De Olivenca,BR,2021-09-19 17:21:25,-3.3783,-68.8725,95.94,42,28,0.65
220,Nerchinsk,RU,2021-09-19 17:21:26,51.9833,116.5833,44.76,87,54,4.61
221,Bosaso,SO,2021-09-19 17:21:26,11.2842,49.1816,88.16,67,16,3.8
222,Abong Mbang,CM,2021-09-19 17:21:26,3.9833,13.1833,72.01,91,97,2.82
223,High Level,CA,2021-09-19 17:21:27,58.5169,-117.136,48.31,93,75,2.3
224,Zolotkovo,RU,2021-09-19 17:21:27,55.5281,41.1053,46.18,51,100,11.81
225,Carnarvon,AU,2021-09-19 17:21:27,-24.8667,113.6333,64.47,72,0,14.97
226,Nanortalik,GL,2021-09-19 17:21:27,60.1432,-45.2371,38.14,89,100,13.51
227,Llanes,ES,2021-09-19 17:21:28,43.4198,-4.7549,67.05,74,18,9.26
228,Baykit,RU,2021-09-19 17:21:28,61.67,96.37,44.6,93,100,3.51
